t,q_j1,qd_j1,qdd_j1,q_j2,qd_j2,qdd_j2,q_j3,qd_j3,qdd_j3
0,0,0,0,0,0,0,0,0,0
0.01,1.18322e-07,3.54522e-05,0.00707268,3.25246e-08,9.74515e-06,0.00194415,-3.57048e-08,-1.0698e-05,-0.00213424
0.02,9.43026e-07,0.000141099,0.014039,2.5922e-07,3.87855e-05,0.00385906,-2.84566e-07,-4.25779e-05,-0.00423639
0.03,3.17075e-06,0.000315879,0.0208995,8.71579e-07,8.68293e-05,0.00574488,-9.56801e-07,-9.53194e-05,-0.00630661
0.04,7.48754e-06,0.000558738,0.0276547,2.05818e-06,0.000153587,0.00760176,-2.25943e-06,-0.000168604,-0.00834505
0.05,1.45689e-05,0.000868624,0.0343052,4.00473e-06,0.000238769,0.00942985,-4.3963e-06,-0.000262115,-0.0103519
0.06,2.508e-05,0.00124449,0.0408514,6.89401e-06,0.000342088,0.0112293,-7.5681e-06,-0.000375537,-0.0123273
0.07,3.96753e-05,0.00168531,0.047294,1.0906e-05,0.000463259,0.0130002,-1.19724e-05,-0.000508556,-0.0142714
0.08,5.89991e-05,0.00219003,0.0536334,1.62178e-05,0.000601998,0.0147428,-1.78035e-05,-0.000660861,-0.0161843
0.09,8.36855e-05,0.00275763,0.0598702,2.30036e-05,0.000758021,0.0164572,-2.52528e-05,-0.00083214,-0.0180664
0.1,0.000114358,0.00338709,0.0660049,3.14349e-05,0.000931048,0.0181435,-3.45085e-05,-0.00102209,-0.0199176
0.11,0.00015163,0.00407739,0.072038,4.16803e-05,0.0011208,0.0198019,-4.57557e-05,-0.00123039,-0.0217381
0.12,0.000196105,0.00482752,0.0779702,5.39056e-05,0.00132699,0.0214325,-5.91765e-05,-0.00145675,-0.0235282
0.13,0.000248376,0.00563646,0.0838019,6.8274e-05,0.00154936,0.0230356,-7.49498e-05,-0.00170085,-0.025288
0.14,0.000309027,0.00650322,0.0895336,8.49458e-05,0.00178761,0.0246111,-9.32517e-05,-0.0019624,-0.0270176
0.15,0.00037863,0.0074268,0.0951659,0.000104078,0.00204149,0.0261593,-0.000114255,-0.0022411,-0.0287172
0.16,0.000457749,0.00840621,0.100699,0.000125827,0.00231071,0.0276804,-0.00013813,-0.00253665,-0.0303869
0.17,0.000546937,0.00944046,0.106134,0.000150343,0.00259501,0.0291744,-0.000165043,-0.00284874,-0.032027
0.18,0.000646738,0.0105286,0.111472,0.000177776,0.00289411,0.0306415,-0.000195159,-0.00317709,-0.0336376
0.19,0.000757685,0.0116696,0.116712,0.000208273,0.00320775,0.0320819,-0.000228638,-0.0035214,-0.0352188
0.2,0.000880302,0.0128625,0.121855,0.000241979,0.00353566,0.0334957,-0.000265639,-0.00388137,-0.0367709
0.21,0.0010151,0.0141064,0.126902,0.000279033,0.00387757,0.034883,-0.000306317,-0.00425672,-0.0382939
0.22,0.0011626,0.0154002,0.131854,0.000319576,0.00423323,0.0362441,-0.000350824,-0.00464715,-0.039788
0.23,0.00132327,0.0167431,0.13671,0.000363743,0.00460237,0.037579,-0.000399309,-0.00505238,-0.0412535
0.24,0.00149762,0.0181341,0.141472,0.000411667,0.00498472,0.0388879,-0.00045192,-0.00547213,-0.0426903
0.25,0.00168611,0.0195722,0.146139,0.00046348,0.00538004,0.040171,-0.000508799,-0.0059061,-0.0440988
0.26,0.00188922,0.0210566,0.150713,0.00051931,0.00578806,0.0414283,-0.000570088,-0.00635401,-0.0454791
0.27,0.00210739,0.0225862,0.155195,0.000579283,0.00620852,0.0426601,-0.000635925,-0.00681558,-0.0468313
0.28,0.00234109,0.0241602,0.159583,0.000643521,0.00664117,0.0438664,-0.000706445,-0.00729054,-0.0481557
0.29,0.00259074,0.0257775,0.16388,0.000712146,0.00708576,0.0450475,-0.000781779,-0.00777861,-0.0494522
0.3,0.00285678,0.0274374,0.168085,0.000785276,0.00754204,0.0462035,-0.000862059,-0.0082795,-0.0507212
0.31,0.00313963,0.0291389,0.1722,0.000863025,0.00800975,0.0473345,-0.000947411,-0.00879294,-0.0519628
0.32,0.0034397,0.0308811,0.176224,0.000945508,0.00848865,0.0484406,-0.00103796,-0.00931866,-0.0531771
0.33,0.00375738,0.0326631,0.180158,0.00103283,0.00897848,0.0495221,-0.00113382,-0.00985639,-0.0543644
0.34,0.00409309,0.034484,0.184003,0.00112511,0.00947901,0.0505791,-0.00123513,-0.0104059,-0.0555247
0.35,0.00444719,0.0363429,0.18776,0.00122245,0.00998998,0.0516116,-0.00134198,-0.0109668,-0.0566582
0.36,0.00482007,0.0382389,0.191428,0.00132495,0.0105112,0.05262,-0.0014545,-0.0115389,-0.0577651
0.37,0.00521209,0.0401712,0.195009,0.00143271,0.0110423,0.0536042,-0.00157279,-0.012122,-0.0588456
0.38,0.00562361,0.0421388,0.198502,0.00154583,0.0115832,0.0545645,-0.00169698,-0.0127158,-0.0598998
0.39,0.00605498,0.0441409,0.201909,0.0016644,0.0121335,0.055501,-0.00182714,-0.0133199,-0.0609278
0.4,0.00650654,0.0461767,0.20523,0.00178853,0.0126931,0.0564138,-0.00196341,-0.0139342,-0.0619299
0.41,0.00697862,0.0482452,0.208465,0.00191829,0.0132617,0.0573031,-0.00210586,-0.0145584,-0.0629062
0.42,0.00747155,0.0503457,0.211615,0.00205379,0.0138391,0.0581691,-0.00225461,-0.0151923,-0.0638568
0.43,0.00798564,0.0524773,0.214681,0.0021951,0.014425,0.0590118,-0.00240974,-0.0158355,-0.064782
0.44,0.0085212,0.054639,0.217663,0.00234232,0.0150192,0.0598315,-0.00257135,-0.0164878,-0.0656818
0.45,0.00907852,0.0568302,0.220562,0.00249552,0.0156216,0.0606283,-0.00273952,-0.017149,-0.0665565
