t,x,y,z,motion
0,1.27,0,1.57,ptp
0.01,1.27,1.50269e-07,1.57,ptp
0.02,1.27,1.19764e-06,1.57,ptp
0.03,1.27,4.02685e-06,1.57,ptp
0.04,1.27,9.50917e-06,1.57,ptp
0.05,1.27,1.85025e-05,1.57,ptp
0.06,1.27001,3.18515e-05,1.57,ptp
0.07,1.27001,5.03876e-05,1.57,ptp
0.08,1.27001,7.49288e-05,1.56999,ptp
0.09,1.27002,0.00010628,1.56999,ptp
0.1,1.27003,0.000145234,1.56999,ptp
0.11,1.27004,0.000192569,1.56998,ptp
0.12,1.27005,0.000249052,1.56998,ptp
0.13,1.27006,0.000315436,1.56997,ptp
0.14,1.27007,0.000392461,1.56997,ptp
0.15,1.27009,0.000480856,1.56996,ptp
0.16,1.27011,0.000581335,1.56995,ptp
0.17,1.27013,0.000694601,1.56994,ptp
0.18,1.27016,0.000821343,1.56993,ptp
0.19,1.27018,0.000962241,1.56992,ptp
0.2,1.27021,0.00111796,1.56991,ptp
0.21,1.27025,0.00128915,1.56989,ptp
0.22,1.27028,0.00147645,1.56988,ptp
0.23,1.27032,0.0016805,1.56986,ptp
0.24,1.27036,0.0019019,1.56984,ptp
0.25,1.27041,0.00214127,1.56982,ptp
0.26,1.27046,0.00239919,1.5698,ptp
0.27,1.27051,0.00267624,1.56978,ptp
0.28,1.27056,0.002973,1.56975,ptp
0.29,1.27062,0.00329002,1.56973,ptp
0.3,1.27069,0.00362784,1.5697,ptp
0.31,1.27076,0.003987,1.56967,ptp
0.32,1.27083,0.00436802,1.56964,ptp
0.33,1.2709,0.0047714,1.5696,ptp
0.34,1.27098,0.00519766,1.56957,ptp
0.35,1.27107,0.00564727,1.56953,ptp
0.36,1.27115,0.0061207,1.56949,ptp
0.37,1.27125,0.00661843,1.56945,ptp
0.38,1.27134,0.00714091,1.56941,ptp
0.39,1.27144,0.00768857,1.56936,ptp
0.4,1.27155,0.00826185,1.56931,ptp
0.41,1.27166,0.00886117,1.56926,ptp
0.42,1.27177,0.00948694,1.56921,ptp
0.43,1.27189,0.0101395,1.56915,ptp
0.44,1.27202,0.0108194,1.5691,ptp
0.45,1.27215,0.0115268,1.56904,ptp
0.46,1.27228,0.0122622,1.56898,ptp
0.47,1.27242,0.013026,1.56891,ptp
0.48,1.27256,0.0138184,1.56885,ptp
0.49,1.27271,0.0146398,1.56878,ptp
0.5,1.27286,0.0154905,1.56871,ptp
0.51,1.27301,0.0163709,1.56863,ptp
0.52,1.27317,0.0172812,1.56856,ptp
0.53,1.27334,0.0182217,1.56848,ptp
0.54,1.27351,0.0191927,1.5684,ptp
0.55,1.27368,0.0201945,1.56831,ptp
0.56,1.27386,0.0212274,1.56823,ptp
0.57,1.27405,0.0222915,1.56814,ptp
0.58,1.27424,0.0233872,1.56804,ptp
0.59,1.27443,0.0245146,1.56795,ptp
0.6,1.27462,0.0256739,1.56785,ptp
0.61,1.27483,0.0268655,1.56775,ptp
0.62,1.27503,0.0280895,1.56765,ptp
0.63,1.27524,0.029346,1.56754,ptp
0.64,1.27545,0.0306352,1.56743,ptp
0.65,1.27567,0.0319574,1.56732,ptp
0.66,1.27589,0.0333127,1.56721,ptp
0.67,1.27612,0.0347012,1.56709,ptp
0.68,1.27635,0.0361231,1.56697,ptp
0.69,1.27658,0.0375784,1.56685,ptp
0.7,1.27681,0.0390675,1.56672,ptp
0.71,1.27705,0.0405902,1.5666,ptp
0.72,1.2773,0.0421468,1.56646,ptp
0.73,1.27754,0.0437373,1.56633,ptp
0.74,1.27779,0.0453618,1.56619,ptp
0.75,1.27804,0.0470205,1.56605,ptp
0.76,1.2783,0.0487133,1.56591,ptp
0.77,1.27856,0.0504403,1.56576,ptp
0.78,1.27882,0.0522016,1.56562,ptp
0.79,1.27908,0.0539971,1.56546,ptp
0.8,1.27934,0.0558271,1.56531,ptp
0.81,1.27961,0.0576913,1.56515,ptp
0.82,1.27988,0.05959,1.56499,ptp
0.83,1.28015,0.061523,1.56483,ptp
0.84,1.28042,0.0634904,1.56466,ptp
0.85,1.28069,0.0654921,1.56449,ptp
0.86,1.28097,0.0675281,1.56432,ptp
0.87,1.28124,0.0695985,1.56415,ptp
0.88,1.28152,0.0717031,1.56397,ptp
0.89,1.2818,0.0738419,1.56379,ptp
0.9,1.28208,0.0760148,1.56361,ptp
0.91,1.28235,0.0782219,1.56342,ptp
0.92,1.28263,0.080463,1.56323,ptp
0.93,1.28291,0.0827379,1.56304,ptp
0.94,1.28319,0.0850468,1.56285,ptp
0.95,1.28347,0.0873894,1.56265,ptp
0.96,1.28374,0.0897656,1.56245,ptp
0.97,1.28402,0.0921753,1.56225,ptp
0.98,1.2843,0.0946184,1.56204,ptp
0.99,1.28457,0.0970949,1.56184,ptp
1,1.28484,0.0996044,1.56163,ptp
1.01,1.28511,0.102147,1.56141,ptp
1.02,1.28538,0.104722,1.5612,ptp
1.03,1.28565,0.10733,1.56098,ptp
1.04,1.28591,0.109971,1.56076,ptp
1.05,1.28617,0.112644,1.56054,ptp
1.06,1.28643,0.115349,1.56031,ptp
1.07,1.28669,0.118086,1.56009,ptp
1.08,1.28694,0.120855,1.55986,ptp
1.09,1.28719,0.123655,1.55963,ptp
1.1,1.28744,0.126487,1.55939,ptp
1.11,1.28768,0.12935,1.55916,ptp
1.12,1.28792,0.132244,1.55892,ptp
1.13,1.28815,0.135169,1.55868,ptp
1.14,1.28838,0.138124,1.55844,ptp
1.15,1.2886,0.141109,1.5582,ptp
1.16,1.28882,0.144124,1.55795,ptp
1.17,1.28903,0.147169,1.55771,ptp
1.18,1.28924,0.150243,1.55746,ptp
1.19,1.28944,0.153347,1.55721,ptp
1.2,1.28964,0.15648,1.55696,ptp
1.21,1.28983,0.159641,1.5567,ptp
1.22,1.29001,0.16283,1.55645,ptp
1.23,1.29019,0.166048,1.55619,ptp
1.24,1.29035,0.169293,1.55594,ptp
1.25,1.29052,0.172566,1.55568,ptp
1.26,1.29067,0.175866,1.55542,ptp
1.27,1.29082,0.179193,1.55516,ptp
1.28,1.29096,0.182546,1.5549,ptp
1.29,1.29109,0.185926,1.55464,ptp
1.3,1.29121,0.189331,1.55437,ptp
1.31,1.29133,0.192763,1.55411,ptp
1.32,1.29143,0.196219,1.55385,ptp
1.33,1.29153,0.1997,1.55358,ptp
1.34,1.29161,0.203206,1.55332,ptp
1.35,1.29169,0.206736,1.55305,ptp
1.36,1.29176,0.21029,1.55279,ptp
1.37,1.29182,0.213867,1.55252,ptp
1.38,1.29187,0.217467,1.55226,ptp
1.39,1.29191,0.221091,1.55199,ptp
1.4,1.29193,0.224736,1.55173,ptp
1.41,1.29195,0.228404,1.55146,ptp
1.42,1.29196,0.232093,1.5512,ptp
1.43,1.29195,0.235804,1.55094,ptp
1.44,1.29194,0.239535,1.55067,ptp
1.45,1.29191,0.243287,1.55041,ptp
1.46,1.29187,0.24706,1.55015,ptp
1.47,1.29182,0.250851,1.54989,ptp
1.48,1.29176,0.254663,1.54963,ptp
1.49,1.29168,0.258493,1.54937,ptp
1.5,1.2916,0.262342,1.54912,ptp
1.51,1.2915,0.266209,1.54886,ptp
1.52,1.29139,0.270093,1.54861,ptp
1.53,1.29126,0.273996,1.54836,ptp
1.54,1.29113,0.277915,1.54811,ptp
1.55,1.29098,0.28185,1.54786,ptp
1.56,1.29081,0.285802,1.54761,ptp
1.57,1.29064,0.289769,1.54737,ptp
1.58,1.29045,0.293752,1.54713,ptp
1.59,1.29024,0.29775,1.54689,ptp
1.6,1.29003,0.301762,1.54665,ptp
1.61,1.2898,0.305788,1.54642,ptp
1.62,1.28955,0.309828,1.54618,ptp
1.63,1.28929,0.313881,1.54595,ptp
1.64,1.28902,0.317947,1.54573,ptp
1.65,1.28873,0.322026,1.54551,ptp
1.66,1.28843,0.326116,1.54529,ptp
1.67,1.28811,0.330218,1.54507,ptp
1.68,1.28778,0.334331,1.54486,ptp
1.69,1.28744,0.338455,1.54465,ptp
1.7,1.28708,0.342589,1.54444,ptp
1.71,1.2867,0.346733,1.54424,ptp
1.72,1.28631,0.350886,1.54404,ptp
1.73,1.28591,0.355048,1.54384,ptp
1.74,1.28549,0.359219,1.54365,ptp
1.75,1.28505,0.363398,1.54346,ptp
1.76,1.2846,0.367585,1.54328,ptp
1.77,1.28414,0.371779,1.5431,ptp
1.78,1.28366,0.37598,1.54293,ptp
1.79,1.28316,0.380187,1.54276,ptp
1.8,1.28265,0.384401,1.54259,ptp
1.81,1.28212,0.38862,1.54243,ptp
1.82,1.28158,0.392844,1.54228,ptp
1.83,1.28103,0.397073,1.54213,ptp
1.84,1.28045,0.401306,1.54198,ptp
1.85,1.27987,0.405543,1.54184,ptp
1.86,1.27926,0.409784,1.5417,ptp
1.87,1.27864,0.414028,1.54157,ptp
1.88,1.27801,0.418274,1.54145,ptp
1.89,1.27736,0.422523,1.54133,ptp
1.9,1.2767,0.426774,1.54121,ptp
1.91,1.27602,0.431026,1.5411,ptp
1.92,1.27532,0.435278,1.541,ptp
1.93,1.27461,0.439532,1.5409,ptp
1.94,1.27388,0.443785,1.54081,ptp
1.95,1.27314,0.448039,1.54072,ptp
1.96,1.27239,0.452291,1.54064,ptp
1.97,1.27161,0.456543,1.54056,ptp
1.98,1.27083,0.460793,1.54049,ptp
1.99,1.27003,0.465041,1.54043,ptp
2,1.26921,0.469287,1.54037,ptp
2.01,1.26838,0.47353,1.54032,ptp
2.02,1.26753,0.477769,1.54027,ptp
2.03,1.26667,0.482006,1.54023,ptp
2.04,1.26579,0.486238,1.5402,ptp
2.05,1.2649,0.490466,1.54017,ptp
2.06,1.264,0.494689,1.54015,ptp
2.07,1.26308,0.498907,1.54014,ptp
2.08,1.26215,0.50312,1.54013,ptp
2.09,1.2612,0.507326,1.54012,ptp
2.1,1.26024,0.511526,1.54013,ptp
2.11,1.25926,0.51572,1.54014,ptp
2.12,1.25827,0.519906,1.54015,ptp
2.13,1.25727,0.524085,1.54017,ptp
2.14,1.25625,0.528255,1.5402,ptp
2.15,1.25522,0.532418,1.54024,ptp
2.16,1.25418,0.536571,1.54028,ptp
2.17,1.25312,0.540716,1.54032,ptp
2.18,1.25205,0.544851,1.54037,ptp
2.19,1.25097,0.548976,1.54043,ptp
2.2,1.24988,0.553091,1.5405,ptp
2.21,1.24877,0.557196,1.54057,ptp
2.22,1.24765,0.561289,1.54064,ptp
2.23,1.24652,0.565371,1.54073,ptp
2.24,1.24538,0.569441,1.54081,ptp
2.25,1.24422,0.573499,1.54091,ptp
2.26,1.24306,0.577544,1.54101,ptp
2.27,1.24188,0.581577,1.54112,ptp
2.28,1.24069,0.585596,1.54123,ptp
2.29,1.23949,0.589602,1.54134,ptp
2.3,1.23828,0.593594,1.54147,ptp
2.31,1.23706,0.597571,1.5416,ptp
2.32,1.23583,0.601534,1.54173,ptp
2.33,1.23458,0.605482,1.54187,ptp
2.34,1.23333,0.609414,1.54201,ptp
2.35,1.23207,0.613331,1.54216,ptp
2.36,1.2308,0.617231,1.54232,ptp
2.37,1.22952,0.621115,1.54248,ptp
2.38,1.22823,0.624982,1.54264,ptp
2.39,1.22694,0.628832,1.54281,ptp
2.4,1.22563,0.632664,1.54299,ptp
2.41,1.22432,0.636479,1.54317,ptp
2.42,1.223,0.640276,1.54336,ptp
2.43,1.22167,0.644054,1.54354,ptp
2.44,1.22033,0.647813,1.54374,ptp
2.45,1.21899,0.651553,1.54394,ptp
2.46,1.21764,0.655273,1.54414,ptp
2.47,1.21629,0.658974,1.54435,ptp
2.48,1.21492,0.662654,1.54456,ptp
2.49,1.21356,0.666314,1.54477,ptp
2.5,1.21218,0.669954,1.54499,ptp
2.51,1.2108,0.673572,1.54521,ptp
2.52,1.20942,0.677169,1.54544,ptp
2.53,1.20803,0.680744,1.54567,ptp
2.54,1.20664,0.684297,1.5459,ptp
2.55,1.20524,0.687828,1.54614,ptp
2.56,1.20384,0.691337,1.54638,ptp
2.57,1.20243,0.694822,1.54662,ptp
2.58,1.20103,0.698284,1.54687,ptp
2.59,1.19962,0.701723,1.54712,ptp
2.6,1.1982,0.705139,1.54737,ptp
2.61,1.19679,0.70853,1.54762,ptp
2.62,1.19537,0.711897,1.54788,ptp
2.63,1.19395,0.715239,1.54814,ptp
2.64,1.19253,0.718557,1.5484,ptp
2.65,1.19111,0.721849,1.54867,ptp
2.66,1.18969,0.725117,1.54893,ptp
2.67,1.18827,0.728358,1.5492,ptp
2.68,1.18685,0.731574,1.54947,ptp
2.69,1.18542,0.734764,1.54974,ptp
2.7,1.184,0.737927,1.55001,ptp
2.71,1.18259,0.741064,1.55029,ptp
2.72,1.18117,0.744175,1.55056,ptp
2.73,1.17975,0.747258,1.55084,ptp
2.74,1.17834,0.750314,1.55112,ptp
2.75,1.17693,0.753343,1.5514,ptp
2.76,1.17552,0.756344,1.55168,ptp
2.77,1.17411,0.759317,1.55196,ptp
2.78,1.17271,0.762262,1.55224,ptp
2.79,1.17131,0.765179,1.55252,ptp
2.8,1.16992,0.768067,1.5528,ptp
2.81,1.16853,0.770927,1.55309,ptp
2.82,1.16714,0.773758,1.55337,ptp
2.83,1.16576,0.77656,1.55365,ptp
2.84,1.16439,0.779333,1.55393,ptp
2.85,1.16302,0.782077,1.55422,ptp
2.86,1.16166,0.784791,1.5545,ptp
2.87,1.1603,0.787475,1.55478,ptp
2.88,1.15895,0.79013,1.55506,ptp
2.89,1.15761,0.792755,1.55534,ptp
2.9,1.15627,0.795349,1.55562,ptp
2.91,1.15495,0.797914,1.5559,ptp
2.92,1.15363,0.800448,1.55617,ptp
2.93,1.15232,0.802952,1.55645,ptp
2.94,1.15102,0.805425,1.55673,ptp
2.95,1.14972,0.807868,1.557,ptp
2.96,1.14844,0.810279,1.55727,ptp
2.97,1.14716,0.81266,1.55754,ptp
2.98,1.1459,0.81501,1.55781,ptp
2.99,1.14465,0.817329,1.55808,ptp
3,1.1434,0.819617,1.55835,ptp
3.01,1.14217,0.821873,1.55861,ptp
3.02,1.14095,0.824098,1.55888,ptp
3.03,1.13973,0.826292,1.55914,ptp
3.04,1.13853,0.828455,1.55939,ptp
3.05,1.13735,0.830586,1.55965,ptp
3.06,1.13617,0.832686,1.55991,ptp
3.07,1.13501,0.834754,1.56016,ptp
3.08,1.13386,0.83679,1.56041,ptp
3.09,1.13272,0.838795,1.56065,ptp
3.1,1.13159,0.840768,1.5609,ptp
3.11,1.13048,0.84271,1.56114,ptp
3.12,1.12938,0.84462,1.56138,ptp
3.13,1.1283,0.846499,1.56161,ptp
3.14,1.12722,0.848346,1.56185,ptp
3.15,1.12617,0.850161,1.56208,ptp
3.16,1.12512,0.851945,1.56231,ptp
3.17,1.1241,0.853697,1.56253,ptp
3.18,1.12308,0.855418,1.56275,ptp
3.19,1.12208,0.857107,1.56297,ptp
3.2,1.1211,0.858765,1.56319,ptp
3.21,1.12013,0.860392,1.5634,ptp
3.22,1.11918,0.861987,1.56361,ptp
3.23,1.11824,0.863551,1.56381,ptp
3.24,1.11731,0.865084,1.56402,ptp
3.25,1.11641,0.866586,1.56422,ptp
3.26,1.11552,0.868057,1.56441,ptp
3.27,1.11464,0.869497,1.5646,ptp
3.28,1.11378,0.870906,1.56479,ptp
3.29,1.11294,0.872285,1.56498,ptp
3.3,1.11211,0.873633,1.56516,ptp
3.31,1.1113,0.874951,1.56534,ptp
3.32,1.11051,0.876239,1.56551,ptp
3.33,1.10973,0.877496,1.56569,ptp
3.34,1.10897,0.878723,1.56585,ptp
3.35,1.10822,0.879921,1.56602,ptp
3.36,1.10749,0.881089,1.56618,ptp
3.37,1.10678,0.882228,1.56633,ptp
3.38,1.10609,0.883337,1.56649,ptp
3.39,1.10541,0.884417,1.56664,ptp
3.4,1.10475,0.885468,1.56678,ptp
3.41,1.1041,0.886491,1.56693,ptp
3.42,1.10347,0.887485,1.56706,ptp
3.43,1.10286,0.88845,1.5672,ptp
3.44,1.10226,0.889388,1.56733,ptp
3.45,1.10169,0.890298,1.56746,ptp
3.46,1.10112,0.89118,1.56758,ptp
3.47,1.10058,0.892035,1.5677,ptp
3.48,1.10005,0.892863,1.56782,ptp
3.49,1.09953,0.893664,1.56793,ptp
3.5,1.09904,0.894439,1.56804,ptp
3.51,1.09855,0.895187,1.56815,ptp
3.52,1.09809,0.895909,1.56825,ptp
3.53,1.09764,0.896606,1.56835,ptp
3.54,1.09721,0.897277,1.56845,ptp
3.55,1.09679,0.897924,1.56854,ptp
3.56,1.09638,0.898545,1.56863,ptp
3.57,1.096,0.899143,1.56871,ptp
3.58,1.09562,0.899716,1.5688,ptp
3.59,1.09527,0.900266,1.56887,ptp
3.6,1.09492,0.900792,1.56895,ptp
3.61,1.0946,0.901295,1.56902,ptp
3.62,1.09428,0.901776,1.56909,ptp
3.63,1.09398,0.902235,1.56916,ptp
3.64,1.0937,0.902671,1.56922,ptp
3.65,1.09343,0.903087,1.56928,ptp
3.66,1.09317,0.903481,1.56934,ptp
3.67,1.09292,0.903855,1.56939,ptp
3.68,1.09269,0.904209,1.56944,ptp
3.69,1.09247,0.904543,1.56949,ptp
3.7,1.09226,0.904858,1.56954,ptp
3.71,1.09207,0.905155,1.56958,ptp
3.72,1.09189,0.905433,1.56962,ptp
3.73,1.09171,0.905693,1.56966,ptp
3.74,1.09155,0.905936,1.56969,ptp
3.75,1.0914,0.906162,1.56973,ptp
3.76,1.09127,0.906372,1.56976,ptp
3.77,1.09114,0.906566,1.56979,ptp
3.78,1.09102,0.906744,1.56981,ptp
3.79,1.09091,0.906909,1.56984,ptp
3.8,1.09081,0.907059,1.56986,ptp
3.81,1.09072,0.907195,1.56988,ptp
3.82,1.09064,0.907319,1.5699,ptp
3.83,1.09057,0.90743,1.56991,ptp
3.84,1.0905,0.907529,1.56993,ptp
3.85,1.09044,0.907617,1.56994,ptp
3.86,1.09039,0.907694,1.56995,ptp
3.87,1.09035,0.907762,1.56996,ptp
3.88,1.09031,0.90782,1.56997,ptp
3.89,1.09028,0.90787,1.56998,ptp
3.9,1.09025,0.907911,1.56998,ptp
3.91,1.09023,0.907945,1.56999,ptp
3.92,1.09021,0.907973,1.56999,ptp
3.93,1.09019,0.907994,1.56999,ptp
3.94,1.09018,0.90801,1.57,ptp
3.95,1.09018,0.908022,1.57,ptp
3.96,1.09017,0.90803,1.57,ptp
3.97,1.09017,0.908035,1.57,ptp
3.98,1.09017,0.908037,1.57,ptp
3.99,1.09017,0.908038,1.57,ptp
4,1.09017,0.908038,1.57,ptp
4,1.09017,0.908038,1.57,ptp
4.01,1.09017,0.908038,1.57,ptp
4.02,1.09017,0.908039,1.57,ptp
4.03,1.09017,0.90804,1.57,ptp
4.04,1.09017,0.908042,1.57,ptp
4.05,1.09017,0.908045,1.56999,ptp
4.06,1.09018,0.908049,1.56998,ptp
4.07,1.09019,0.908056,1.56997,ptp
4.08,1.0902,0.908064,1.56996,ptp
4.09,1.09022,0.908075,1.56994,ptp
4.1,1.09024,0.908089,1.56991,ptp
4.11,1.09026,0.908105,1.56989,ptp
4.12,1.09029,0.908125,1.56985,ptp
4.13,1.09033,0.908148,1.56981,ptp
4.14,1.09036,0.908175,1.56977,ptp
4.15,1.09041,0.908206,1.56972,ptp
4.16,1.09046,0.908241,1.56966,ptp
4.17,1.09052,0.90828,1.56959,ptp
4.18,1.09058,0.908324,1.56951,ptp
4.19,1.09065,0.908373,1.56943,ptp
4.2,1.09073,0.908428,1.56934,ptp
4.21,1.09082,0.908487,1.56923,ptp
4.22,1.09091,0.908553,1.56912,ptp
4.23,1.09102,0.908624,1.569,ptp
4.24,1.09113,0.908701,1.56887,ptp
4.25,1.09125,0.908784,1.56873,ptp
4.26,1.09138,0.908874,1.56857,ptp
4.27,1.09152,0.90897,1.56841,ptp
4.28,1.09167,0.909074,1.56823,ptp
4.29,1.09183,0.909184,1.56804,ptp
4.3,1.092,0.909302,1.56784,ptp
4.31,1.09218,0.909427,1.56762,ptp
4.32,1.09237,0.90956,1.5674,ptp
4.33,1.09258,0.9097,1.56716,ptp
4.34,1.09279,0.909849,1.5669,ptp
4.35,1.09302,0.910005,1.56663,ptp
4.36,1.09325,0.91017,1.56635,ptp
4.37,1.09351,0.910344,1.56605,ptp
4.38,1.09377,0.910526,1.56574,ptp
4.39,1.09404,0.910717,1.56541,ptp
4.4,1.09433,0.910916,1.56507,ptp
4.41,1.09463,0.911125,1.56471,ptp
4.42,1.09495,0.911343,1.56433,ptp
4.43,1.09527,0.911571,1.56394,ptp
4.44,1.09562,0.911807,1.56353,ptp
4.45,1.09597,0.912054,1.5631,ptp
4.46,1.09634,0.91231,1.56266,ptp
4.47,1.09672,0.912576,1.5622,ptp
4.48,1.09712,0.912852,1.56172,ptp
4.49,1.09753,0.913139,1.56122,ptp
4.5,1.09795,0.913435,1.56071,ptp
4.51,1.09839,0.913742,1.56018,ptp
4.52,1.09885,0.914059,1.55963,ptp
4.53,1.09932,0.914387,1.55906,ptp
4.54,1.0998,0.914726,1.55847,ptp
4.55,1.1003,0.915075,1.55786,ptp
4.56,1.10081,0.915435,1.55723,ptp
4.57,1.10134,0.915806,1.55658,ptp
4.58,1.10189,0.916188,1.55591,ptp
4.59,1.10244,0.916581,1.55523,ptp
4.6,1.10302,0.916985,1.55452,ptp
4.61,1.10361,0.917401,1.55379,ptp
4.62,1.10421,0.917828,1.55304,ptp
4.63,1.10483,0.918266,1.55227,ptp
4.64,1.10547,0.918716,1.55147,ptp
4.65,1.10612,0.919177,1.55066,ptp
4.66,1.10679,0.91965,1.54983,ptp
4.67,1.10747,0.920134,1.54897,ptp
4.68,1.10817,0.92063,1.54809,ptp
4.69,1.10888,0.921138,1.54719,ptp
4.7,1.10961,0.921658,1.54627,ptp
4.71,1.11036,0.92219,1.54532,ptp
4.72,1.11112,0.922733,1.54435,ptp
4.73,1.1119,0.923288,1.54336,ptp
4.74,1.11269,0.923856,1.54235,ptp
4.75,1.11349,0.924435,1.54131,ptp
4.76,1.11432,0.925026,1.54025,ptp
4.77,1.11515,0.92563,1.53917,ptp
4.78,1.11601,0.926245,1.53807,ptp
4.79,1.11687,0.926872,1.53694,ptp
4.8,1.11776,0.927512,1.53578,ptp
4.81,1.11866,0.928164,1.5346,ptp
4.82,1.11957,0.928828,1.5334,ptp
4.83,1.1205,0.929504,1.53218,ptp
4.84,1.12144,0.930192,1.53093,ptp
4.85,1.1224,0.930892,1.52965,ptp
4.86,1.12337,0.931605,1.52835,ptp
