Model,Run,TrainLoss,TestLoss,TrainAccPct,TestAccPct
MLP1,1,0.0183997880667448,0.07195318,99.4697280794158,97.75
MLP1,2,0.0353320576250553,0.08080452,99.2661893624239,97.47
MLP1,3,0.0207973942160606,0.0673776,99.6750522237497,97.93
MLP1,4,0.0377672873437405,0.0725714,99.4643717973897,97.59
MLP1,5,0.00259041809476912,0.0660332,99.7536110267993,97.91
MLP2,1,0.0458628721535206,0.08483611,99.4358049599171,97.68
MLP2,2,0.000940932484809309,0.07364292,99.5500723098073,97.98
MLP2,3,0.0569742470979691,0.07753538,99.3911692763663,97.87
MLP2,4,0.00114769232459366,0.07593433,99.635772822225,97.98
MLP2,5,0.0197172332555056,0.07599873,99.4340195325751,97.85
